0,97
0,27
0,28
0,81
0,6
0,06
0,46
0,08
0,28
0,57
0,43
0,88
0,18
0,88
0,87
0,52
0,49
0,28
0,05
0,25
0
0,68
0,19
0,29
0,62
0,12
0,26
0,91
0,33
0,28
0,55
0,78
0,27
0,4
0,14
0,32
0,3
0,23
0,48
0,82
0,73
0,59
0,14
0,91
0,56
0,8
0,67
0,82
0,73
0,06
0,92
0,2
0,38
0,59
0,29
0,56
0,17
0,45
0,32
0,5
0,3
0,26
0,83
0,39
0,68
0,76
0,67
0,68
0,29
0,98
0,86
0,03
1
0,34
0,92
0,68
0,53
0,53
0,18
0,4
0,1
0,11
0,43
0,16
0,17
0,73
0,79
0,18
0,21
0,16
0,56
0,58
0,73
0,35
0,23
0,15
0,56
1
0,02
0,8
0,97
0,05
0,51
0,81
0,24
